gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Smp_120670	2004.2741238890821	29.77847214292677	1.3940172158749682	21.36162437867457	3.0405224584100585e-101	2.972110703095832e-97
Smp_160250	437.37336633285474	27.949776999764254	1.4118081104280575	19.79715004703432	3.150191783513873e-87	1.5396562341924055e-83
Smp_323110	78.79308630453299	25.67114875669798	1.4400413271952914	17.826675020984716	4.3875053842479005e-71	1.429595504367441e-67
Smp_335470	1885.8910737366414	29.946884756972555	1.7031789771345527	17.58293471150961	3.32891321607444e-69	8.135031671781912e-66
Smp_329780	32296.76332509979	11.25484586062834	0.6987070049933207	16.108105085816234	2.2377685757747776e-58	4.37483756563969e-55
Smp_173160	18238.449587440457	12.194695023121723	0.7602211764391367	16.04098307316493	6.609968666846403e-58	1.0768740619737265e-54
Smp_334555	10247.470445617791	12.549849740239209	0.7828894063913362	16.030169316106473	7.866812436923902e-58	1.0985441652990163e-54
Smp_348500	8210.007066453953	9.565656000568817	0.6238883394839831	15.332320537486808	4.650707865224328e-53	5.682583672820976e-50
Smp_327370	8512.76026761249	11.950528684434833	0.7891071261134056	15.14436796850999	8.254434829387191e-52	8.965233384139977e-49
Smp_335510	837.2956750620697	29.85909386603467	1.9730109143929202	15.133770243345094	9.697657388775284e-52	9.47946009752784e-49
Smp_317730	4989.3466057636515	11.579161639602937	0.7695476702135756	15.04671131859749	3.6282811967246637e-51	3.2242226089075986e-48
Smp_328670	16313.46508077095	14.69369266642703	0.9837596607807996	14.936262638340754	1.9141376418203864e-50	1.5592246207328565e-47
Smp_324360	10487.431965180085	14.440268862292394	0.9693348518227672	14.8970903451356	3.4424747373552036e-50	2.5884761967420857e-47
Smp_350120	5275.823632494967	8.615292790326569	0.5829108230306402	14.77977839823659	1.9781595663680906e-49	1.3811792686605773e-46
Smp_032670	75108.4617912277	14.125795679151814	0.9698695325666212	14.564634937825002	4.714965196452234e-48	3.0725856530213726e-45
Smp_336400	8676.887176721992	14.741380092669878	1.0137398229249204	14.541581340009817	6.604904774012471e-48	4.035184010373244e-45
Smp_303290	8584.71480820649	8.374865379246307	0.5763625339190448	14.530551322100044	7.75934076821938e-48	4.461620941726144e-45
Smp_317740	8907.790394407995	9.309742826935006	0.6423314704227321	14.493673836046154	1.328433049072659e-47	7.214129474825133e-45
Smp_349630	14120.635832229147	10.881523801818819	0.7521249490700872	14.467707546827858	1.938251638825086e-47	9.971794615534325e-45
Smp_350240	9361.908907215016	9.99311438617502	0.6932058457201847	14.415796473546733	4.1166266055610766e-47	2.0120012534679763e-44
